ID,Category,Title,Location,guests,bedrooms,bathrooms,Review_Count,Overall Rate,Price (Night),amenities_count,url,Accuracy_rate,Check-in_rate,Cleanliness_rate,Communication_rate,Location_rate,Value_rate,beds
1010.0,Tiny homes,Tiny House Hideaway in the Heart of East Dulwich,Greater London England United Kingdom,4,,,41,4.90,93,26.0,https://www.airbnb.co.uk/rooms/39880406?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-12-12&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,4.9,4.9,5.0,5.0,4.8,3
1011.0,Tiny homes,East Sussex new studio with fantastic sea views.,East Sussex England United Kingdom,2,,1,54,5.0,59,29.0,https://www.airbnb.co.uk/rooms/45328574?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-29&check_out=2021-12-06&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,5.0,5.0,4.9,4.9,1
1012.0,Tiny homes,"Tiny Cottage w/ Terrace & Parking, Central Lewes",East Sussex England United Kingdom,4,,1,130,4.88,67,30.0,https://www.airbnb.co.uk/rooms/36913831?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-02-21&check_out=2022-02-28&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,4.9,4.9,5.0,5.0,4.8,2
1013.0,Tiny homes,Lotus Pod self-contained glamping in Suffolk,Henley England United Kingdom,4,1,1.5,31,4.94,76,37.0,https://www.airbnb.co.uk/rooms/44202098?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-19&check_out=2021-11-26&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,4.9,4.9,5.0,4.7,2
1014.0,Tiny homes,The Armadilla -  a spacious and cosy retreat,Hampshire England United Kingdom,2,1,1,120,4.93,71,29.0,https://www.airbnb.co.uk/rooms/38119336?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-28&check_out=2021-12-05&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,4.9,4.9,4.9,5.0,4.8,3
1015.0,Tiny homes,Cute and cosy cottage in the heart of Arundel.,West Sussex England United Kingdom,2,1,1,86,4.94,100,30.0,https://www.airbnb.co.uk/rooms/42165124?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-08&check_out=2021-11-15&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.9,5.0,5.0,5.0,4.9,4.8,1
1016.0,Tiny homes,Charming romantic hideaway close to Canterbury,Kent England United Kingdom,2,,1,216,4.99,78,53.0,https://www.airbnb.co.uk/rooms/19241495?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-14&check_out=2021-11-21&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,5.0,5.0,4.9,4.8,1
1017.0,Tiny homes,Honey Pod,Maple Cross England United Kingdom,1,1,1,7,4.29,52,17.0,https://www.airbnb.co.uk/rooms/45554592?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2022-01-03&check_out=2022-01-10&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,4.6,4.7,4.6,4.9,4.4,4.6,1
1018.0,Tiny homes,The Guest House,Soberton England United Kingdom,4,1,1.5,111,4.95,67,38.0,https://www.airbnb.co.uk/rooms/19394290?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-01&check_out=2021-11-08&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,5.0,5.0,5.0,4.9,1
1019.0,Tiny homes,Cosy studio in tranquil surroundings,Long Wittenham England United Kingdom,2,1,1,59,4.98,57,49.0,https://www.airbnb.co.uk/rooms/27737782?category_tag=Tag%3A8186&adults=1&children=0&infants=0&check_in=2021-11-20&check_out=2021-11-27&previous_page_section_name=1000&federated_search_id=1e164330-a64d-4c08-acd0-9cb5d2108e34,5.0,5.0,5.0,5.0,5.0,4.9,1
1020.0,Chalets,The Woodsman's Cabin in rural Staffordshire,Woodseaves England United Kingdom,2,1,1,11,5.0,173,27.0,https://www.airbnb.co.uk/rooms/45689836?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-02&check_out=2022-01-09&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,4.9,5.0,4.7,4.9,5.0,4.8,1
1021.0,Chalets,"The Deer Leap, Lakeside, Woodland Lodge.",Inkberrow England United Kingdom,4,2,1,245,4.99,100,41.0,https://www.airbnb.co.uk/rooms/32187171?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,2
1022.0,Chalets,The Retreat,Warwickshire England United Kingdom,2,1,1,185,5.0,84,45.0,https://www.airbnb.co.uk/rooms/35143077?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-01&check_out=2022-01-08&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,1
1023.0,Chalets,Idyllic Rustic Log Cabin with Log Burner & Hot Tub,Bewdley England United Kingdom,2,1,1,115,4.96,82,49.0,https://www.airbnb.co.uk/rooms/39853991?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,4.9,4.9,1
1024.0,Chalets,"Pinetree Lodge, romantic getaway in the Cotswolds",Mickleton England United Kingdom,2,1,1,40,5.0,122,37.0,https://www.airbnb.co.uk/rooms/48316192?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-12&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,
1025.0,Chalets,“The Stable - self contained modern conversion”,Daventry Northamptonshire England United Kingdom,2,1,1,28,5.0,124,38.0,https://www.airbnb.co.uk/rooms/48671576?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-06&check_out=2021-12-13&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,4.9,4.9,5.0,5.0,4.9,4.9,2
1026.0,Chalets,Little Country Houses - Poppy's Pad,Mickleton England United Kingdom,4,1,1,154,4.90,131,16.0,https://www.airbnb.co.uk/rooms/20669368?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,4.9,4.9,4.8,5.0,4.9,4.7,1
1027.0,Chalets,Owl's Rest Reservoir Retreat (now with Hot-tub),Welford Northampton United Kingdom,4,2,1,361,4.96,111,35.0,https://www.airbnb.co.uk/rooms/6519317?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-10&check_out=2022-01-17&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,4.9,5.0,4.9,5.0,4.9,3
1028.0,Chalets,Star barn in an idyllic Shropshire Hills location,Shropshire England United Kingdom,2,1,1,53,5.0,92,35.0,https://www.airbnb.co.uk/rooms/48164427?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-05&check_out=2021-12-12&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,1
1029.0,Chalets,Little Country Houses - DJ's Digs,Mickleton England United Kingdom,4,1,1,138,4.96,145,14.0,https://www.airbnb.co.uk/rooms/25798964?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-13&check_out=2021-12-20&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,4.9,5.0,4.9,5.0,4.9,4.7,1
1030.0,Chalets,Cuckoo Cabin,Eccleshall England United Kingdom,2,1,1.5,95,4.99,73,30.0,https://www.airbnb.co.uk/rooms/37522532?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-04-01&check_out=2022-04-08&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,4.9,1
1031.0,Chalets,Water's Edge,Welford England United Kingdom,4,2,2,10,5.0,161,44.0,https://www.airbnb.co.uk/rooms/49269881?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-13&check_out=2021-12-20&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,
1032.0,Chalets,"Lime Lodge, Shropshire - Hot Tub & Wood Burner",Billingsley England United Kingdom,6,3,3,139,4.91,314,53.0,https://www.airbnb.co.uk/rooms/17935139?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-12&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,4.9,5.0,4.9,4.9,4.9,4.8,5
1033.0,Chalets,'Willow' at West View Farm Lodges,Leicestershire England United Kingdom,4,1,1,191,4.97,124,26.0,https://www.airbnb.co.uk/rooms/17758771?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-10&check_out=2021-12-17&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,4.8,2
1034.0,Chalets,Arraslea (3) Two Person Cabin with private Hot Tub,Alderwasley England United Kingdom,2,1,1.5,145,4.95,135,21.0,https://www.airbnb.co.uk/rooms/33873467?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-09&check_out=2022-01-16&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,4.9,4.9,4.9,4.9,4.9,1
1035.0,Chalets,Aspen Country Lodge with Hot tub & views 2021,Billingsley England United Kingdom,4,2,2,29,4.97,86,40.0,https://www.airbnb.co.uk/rooms/47409092?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-11-29&check_out=2021-12-06&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,4.9,4.9,4.9,4.8,4.8,3
1036.0,Chalets,Stunning Herefordshire hot tub Lodge.,Upper Sapey United Kingdom,4,1,1,20,5.0,139,36.0,https://www.airbnb.co.uk/rooms/19803151?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-02-12&check_out=2022-02-19&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,4.8,4.9,4.8,4.8,4.8,2
1037.0,Chalets,Redwood Lodge nestled amongst Shropshire Hills,Stoke Saint Milborough England United Kingdom,4,2,1,130,5.0,88,35.0,https://www.airbnb.co.uk/rooms/36628588?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,4.9,5.0,4
1038.0,Chalets,"Ash Lodge, Billingsley near Bridgnorth.",Billingsley United Kingdom,2,1,1,83,4.96,99,31.0,https://www.airbnb.co.uk/rooms/18418256?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-12&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,4.8,4.9,1
1039.0,Chalets,Log Cabin Retreat in  peaceful Shropshire Garden,Longdon Common England United Kingdom,2,1,1.5,53,5.0,68,52.0,https://www.airbnb.co.uk/rooms/44661775?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-11-08&check_out=2021-11-15&previous_page_section_name=1000&federated_search_id=5c7118f1-e285-4080-98f2-48cc1399c85f,5.0,5.0,5.0,5.0,5.0,5.0,1
